TrialID,Start_x,Start_y,Goal_x,Goal_y,short_dis,learn_dis,TopSeq,TargetSeq,TopCenter,TargetCenter,Top,Target
2,174,173,73,71,203,405,5,10,8.636363636,7.181818182,well,picnic table
3,214,132,13,153,302,548,6,12,10.27272727,9.727272727,Chair,Piano
4,214,132,53,194,223,629,6,1,10.27272727,8.818181818,chair,trashcan
5,214,30,73,153,264,588,7,2,10.63636364,7.909090909,mailbox,bookshelf
6,214,30,134,153,203,731,7,4,10.63636364,7.363636364,mailbox,harp
7,134,10,53,194,265,427,8,1,9,8.818181818,telescope,trashcan
8,134,10,114,112,162,570,8,3,9,6.272727273,telescope,wheelbarrow
9,93,30,174,173,224,630,9,5,7.727272727,8.636363636,plant,well
10,93,30,13,153,203,285,9,12,7.727272727,9.727272727,plant,piano
11,73,71,114,112,82,448,10,3,7.181818182,6.272727273,picnic table,wheelbarrow
13,33,30,214,132,323,569,11,6,10.27272727,10.27272727,stove,chair
14,33,30,73,153,203,285,11,2,10.27272727,7.909090909,stove,bookshelf
16,13,153,134,153,203,285,12,4,9.727272727,7.363636364,piano,harp
17,53,194,73,71,183,669,1,10,8.818181818,7.181818182,trashcan,picnic table
18,53,194,174,173,142,264,1,5,8.818181818,8.636363636,Trashcan,well
19,73,153,93,30,143,547,2,9,7.909090909,7.727272727,bookshelf,plant
21,114,112,214,30,182,304,3,11,6.272727273,10.27272727,wheelbarrow,mailbox
22,114,112,33,30,163,607,3,7,6.272727273,10.63636364,wheelbarrow,stove
23,134,153,93,30,164,404,4,9,7.363636364,7.727272727,harp,plant
24,134,153,134,10,183,343,4,8,7.363636364,9,harp,telescope