TrialID,start_x,start_y,end_x,end_y,min_grid_dis,learn_grid_dis,TopSeq,TargetSeq,TopCenter,TargetCenter,Top,Target
1,-3,2.900391,1.599609,-2,9.5,14.5,6,12,7.15,5.09,Stove,Well
2,-3,2.900391,0,0,5.9,10.9,6,10,7.15,4.22,Stove,Wheelbarrow
3,1.599609,2.900391,-1.799805,-3.099609,9.4,14.4,7,2,5.55,6.00,Piano,Mailbox
4,1.599609,2.900391,1.599609,-1,5.7,8.9,7,11,5.55,4.55,Piano,Harp
5,-1.799805,1.700195,1.599609,0.899902,4.2,8.4,5,9,4.56,4.85,Table,Bookshelf
6,-1.799805,1.700195,0.799805,-3.099609,9,16.4,5,1,4.56,5.97,Table,Chair
7,-3,-2,2.5,0.899902,8.4,12.3,3,8,6.00,4.86,Plant,Trashcan
8,-3,-2,1.599609,-1,5.6,18.4,3,11,6.00,4.55,Plant,Harp
9,1.599609,0.899902,-3,2.900391,6.6,20.2,9,6,4.85,7.15,Bookshelf,Stove
10,1.599609,0.899902,-3,-2,7.5,13.6,9,3,4.85,6.00,Bookshelf,Plant
11,2.5,0.899902,-3,0,5,15.9,8,4,4.86,5.33,Trashcan,Telescope
12,2.5,0.899902,-1.799805,1.700195,5.1,18.8,8,5,4.86,4.56,Trashcan,Table
13,-3,0,1.599609,-2,6.6,17.4,4,12,5.33,5.09,Telescope,Well
14,-3,0,0,0,5,13.8,4,10,5.33,4.22,Telescope,Wheelbarrow
15,0,0,-1.799805,-3.099609,4.9,9.9,10,2,4.22,6.00,Wheelbarrow,Mailbox
16,0,0,-3,-2,5,10.4,10,3,4.22,6.00,Wheelbarrow,Plant
17,1.599609,-1,-3,2.900391,8.5,15.1,11,6,4.55,7.15,Harp,Stove
18,1.599609,-1,-3,0,5.6,9.8,11,4,4.55,5.33,Harp,Telescope
19,1.599609,-2,-1.799805,1.700195,7.1,11.7,12,5,5.09,4.56,Well,Table
20,1.599609,-2,1.599609,2.900391,6.7,16.3,12,7,5.09,5.55,Well,Piano
21,-1.799805,-3.099609,2.5,0.899902,8.3,14.7,2,8,6.00,4.86,Mailbox,Trashcan
22,-1.799805,-3.099609,1.599609,0.899902,7.4,15.6,2,9,6.00,4.85,Mailbox,Bookshelf
23,0.799805,-3.099609,1.599609,2.900391,8.6,14.4,1,7,5.97,5.55,Chair,Piano
24,0.799805,-3.099609,2.5,0.899902,5.4,17.3,1,8,5.97,4.86,Chair,Trashcan